"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","116535","Play full-screen","alt+enter","n/A","Movies & TV","General","alt"
"","116536","Leave full-screen","esc","n/A","Movies & TV","General","None"
"","116537","Select something that's in focus","enter","n/A","Movies & TV","General","None"
"","116538","Play or pause (when a video is in focus)","space or ctrl+p","n/A","Movies & TV","General","ctrl"
"","116539","Go back","alt+left","n/A","Movies & TV","General","alt"
"","116540","Turn repeat on or off","ctrl+t","n/A","Movies & TV","General","ctrl"
"","116541","Mute the sound","f7","n/A","Movies & TV","Volume","None"
"","116542","Volume down","f8","n/A","Movies & TV","Volume","None"
"","116543","Volume up","f9","n/A","Movies & TV","Volume","None"
