"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","204413","Parameter Info","ctrl+p","cmd+p","CLion","Advanced Editing","ctrl"
"","204414","Error Description","ctrl+f1","cmd+f1","CLion","Advanced Editing","ctrl"
"","204415","Override Methods...","ctrl+o","ctrl+o","CLion","Advanced Editing","ctrl"
"","204416","Surround with...","ctrl+alt+t","alt+cmd+t","CLion","Advanced Editing","ctrl alt"
"","204417","Generate","alt+ins","cmd+n","CLion","Advanced Editing","alt"
"","204418","Basic Code Completion","ctrl+space","ctrl+space","CLion","Advanced Editing","ctrl"
"","204419","SmartType Code Completion","ctrl+shift+space","ctrl+shift+space","CLion","Advanced Editing","ctrl shift"
"","204420","Expand Word","alt+/","alt+/","CLion","Advanced Editing","alt"
"","204421","Insert Live Template...","ctrl+j","cmd+j","CLion","Advanced Editing","ctrl"
"","204422","Surround with Live Template...","ctrl+alt+j","alt+cmd+j","CLion","Advanced Editing","ctrl alt"
"","204423","Next Template Variable","tab","tab","CLion","Advanced Editing","None"
"","204424","Previous Template Variable","shift+tab","shift+tab","CLion","Advanced Editing","shift"
"","204425","Expand","ctrl+num-plus","cmd+num-plus","CLion","Code Folding","ctrl"
"","204426","Collapse","ctrl+num-","cmd+num-","CLion","Code Folding","ctrl"
"","204427","Expand Recursively","ctrl+alt+num-plus","alt+cmd+num-plus","CLion","Code Folding","ctrl alt"
"","204428","Collapse Recursively","ctrl+alt+num-","alt+cmd+num-","CLion","Code Folding","ctrl alt"
"","204429","Expand All","ctrl+shift+num-plus","shift+cmd+num-plus","CLion","Code Folding","ctrl shift"
"","204430","Collapse All","ctrl+shift+num-","shift+cmd+num-","CLion","Code Folding","ctrl shift"
"","204431","Expand to level 1","ctrl+num* 1","cmd+num* 1","CLion","Code Folding","ctrl"
"","204432","Expand all to level 1","ctrl+shift+num* 1","alt+cmd+num* 1","CLion","Code Folding","ctrl shift"
"","204433","Fold Selection / Remove region","ctrl+.","cmd+.","CLion","Code Folding","ctrl"
"","204434","Search everywhere","shift shift","shift shift","CLion","Search","shift"
"","204435","Find","ctrl+f","cmd+f","CLion","Search","ctrl"
"","204436","Replace","ctrl+r","cmd+r","CLion","Search","ctrl"
"","204437","Search for next/previous occurrence","f3 or shift+f3","cmd+g or shift+cmd+g","CLion","Search","shift"
"","204438","Next Occurrence of the Word at Caret","ctrl+f3","n/a","CLion","Search","ctrl"
"","204439","Incremental Search","ctrl+f","cmd+f","CLion","Search","ctrl"
"","204440","Find in Path","ctrl+shift+f","shift+cmd+f","CLion","Search","ctrl shift"
"","204441","Replace in Path","ctrl+shift+r","shift+cmd+r","CLion","Search","ctrl shift"
"","204442","Find Usages","alt+f7","alt+f7","CLion","Search","alt"
"","204443","Find Usages in File","ctrl+f7","cmd+f7","CLion","Search","ctrl"
"","204444","Highlight Usages in File","ctrl+shift+f7","shift+cmd+f7","CLion","Search","ctrl shift"
"","204445","Show Usages","ctrl+alt+f7","alt+cmd+f7","CLion","Search","ctrl alt"
"","204446","Find Action","ctrl+shift+a","shift+cmd+a","CLion","Search","ctrl shift"
"","204447","Go to Bookmark <number>","ctrl+number","ctrl+number","CLion","Navigation Between Bookmarks","ctrl"
"","204448","Toggle Bookmark","f11","f3","CLion","Navigation Between Bookmarks","None"
"","204449","Toggle Bookmark with Mnemonic","ctrl+f11","alt+f3","CLion","Navigation Between Bookmarks","ctrl"
"","204450","Show Bookmarks","shift+f11","cmd+f3","CLion","Navigation Between Bookmarks","shift"
"","204451","Select Target","alt+f1","alt+f1","CLion","Views and Windows","alt"
"","204452","Collapse all","ctrl+num-","cmd+num-","CLion","Views and Windows","ctrl"
"","204453","Expand all","ctrl+num-plus","cmd+num-plus","CLion","Views and Windows","ctrl"
"","204454","Switcher","ctrl+tab","ctrl+tab","CLion","Views and Windows","ctrl"
"","204455","Open tool window","alt+number","alt+number","CLion","Views and Windows","alt"
"","204456","Hide Active Window","shift+esc","shift+esc","CLion","Views and Windows","shift"
"","204457","Jump to Last Window","f12","f12","CLion","Views and Windows","None"
"","204458","Move to Next Difference","f7","f7","CLion","Differences","None"
"","204459","Move to Previous Difference","shift+f7","shift+f7","CLion","Differences","shift"
"","204460","File Structure Popup","ctrl+f12","cmd+f12","CLion","Navigation In Source Code","ctrl"
"","204461","Select In","alt+f1","alt+f1","CLion","Navigation In Source Code","alt"
"","204462","Recent Files","ctrl+e","cmd+e","CLion","Navigation In Source Code","ctrl"
"","204463","Recently Changed Files","n/a","n/a","CLion","Navigation In Source Code","None"
"","204464","Type Hierarchy","ctrl+h","ctrl+h","CLion","Navigation In Source Code","ctrl"
"","204465","Method Hierarchy","ctrl+shift+h","shift+cmd+h","CLion","Navigation In Source Code","ctrl shift"
